
genres,href,id,name,popularity,type,followers.total
[],https://api.spotify.com/v1/artists/64RvCOxMT6aJc1mprl89jR,64RvCOxMT6aJc1mprl89jR,Atomic Guava,22,artist,902
"['detroit rock', 'swing', 'swing revival']",https://api.spotify.com/v1/artists/3gv1hh37jyGKfyAjFvv7No,3gv1hh37jyGKfyAjFvv7No,The Atomic Fireballs,35,artist,13182
"['modern blues rock', 'psychedelic doom', 'retro metal', 'space rock', 'stoner metal', 'stoner rock']",https://api.spotify.com/v1/artists/4TnftWQx6fF7k4Nviu7Nn6,4TnftWQx6fF7k4Nviu7Nn6,The Atomic Bitchwax,37,artist,46841
[],https://api.spotify.com/v1/artists/3jKz0Jes9gwbWB0dVFD3GW,3jKz0Jes9gwbWB0dVFD3GW,Atomic Playboys,22,artist,57
"['instrumental surf', 'surf music']",https://api.spotify.com/v1/artists/6Zjd2ECuBg8bVcwQ0NJ21W,6Zjd2ECuBg8bVcwQ0NJ21W,Atomic Mosquitos,19,artist,3469
[],https://api.spotify.com/v1/artists/583vIMet0uAZ1ZYTA0zX3E,583vIMet0uAZ1ZYTA0zX3E,Atomic,22,artist,15
[],https://api.spotify.com/v1/artists/2Pm5CCRVBqKh2hRGHB6tLE,2Pm5CCRVBqKh2hRGHB6tLE,Atomic House,30,artist,14691
['norwegian contemporary jazz'],https://api.spotify.com/v1/artists/5MaqvdfplsuBzHTHrBxjr6,5MaqvdfplsuBzHTHrBxjr6,Atomic,19,artist,1153
[],https://api.spotify.com/v1/artists/0KTH0efFnQSQo2WxeGZmg6,0KTH0efFnQSQo2WxeGZmg6,Atomic Number 32 Pd Company,13,artist,1059
[],https://api.spotify.com/v1/artists/4w6paKg04IJp1dOa1cyxa1,4w6paKg04IJp1dOa1cyxa1,Atomic Cemetery,13,artist,27
['full on'],https://api.spotify.com/v1/artists/6doAJmQHlyJKfoJZtFJW8U,6doAJmQHlyJKfoJZtFJW8U,Atomic Pulse,27,artist,4562
[],https://api.spotify.com/v1/artists/0AirXQe7BShlSTOCJGj5w1,0AirXQe7BShlSTOCJGj5w1,Atomic,31,artist,412
['progressive metal'],https://api.spotify.com/v1/artists/3LX11DL1d2GULjP82kQJ7p,3LX11DL1d2GULjP82kQJ7p,Atomic Symphony,18,artist,2928
['deep ambient'],https://api.spotify.com/v1/artists/74o3MDBthdwpPjkbtlO5r2,74o3MDBthdwpPjkbtlO5r2,Atomic Skunk,14,artist,840
[],https://api.spotify.com/v1/artists/47N2XnoATOkUO2PhmMHxTX,47N2XnoATOkUO2PhmMHxTX,Atomic Bash,12,artist,21
[],https://api.spotify.com/v1/artists/4vd4rF6VLMGBv2Xa1Ungij,4vd4rF6VLMGBv2Xa1Ungij,Atomic Influx,11,artist,122
['french reggae'],https://api.spotify.com/v1/artists/5BsYLvkf6dJTpfwXAcin0i,5BsYLvkf6dJTpfwXAcin0i,Atomic Spliff,32,artist,5953
[],https://api.spotify.com/v1/artists/0onorOJM63vwVFIXT5WEZf,0onorOJM63vwVFIXT5WEZf,Atomics,10,artist,261
[],https://api.spotify.com/v1/artists/0Qq5b8nT2ncmA3k7Gaeyiy,0Qq5b8nT2ncmA3k7Gaeyiy,Atomic Forest,11,artist,1579
[],https://api.spotify.com/v1/artists/6q1ZESI4GkTNPyJM6SkXtj,6q1ZESI4GkTNPyJM6SkXtj,Los Poderosos Atómicos,39,artist,315
"['chilean metal', 'lovecraftian metal']",https://api.spotify.com/v1/artists/2ZDH8Y5Kt2EIIpz6xvQh88,2ZDH8Y5Kt2EIIpz6xvQh88,Atomic Aggressor,12,artist,4243
['german death metal'],https://api.spotify.com/v1/artists/35BDie84XyB1qcg9hq4Wif,35BDie84XyB1qcg9hq4Wif,Atomwinter,4,artist,1557
[],https://api.spotify.com/v1/artists/2cY7bL7rgIWExRVffAoVRL,2cY7bL7rgIWExRVffAoVRL,atonement_beats,22,artist,156
"['metalcore', 'pixie', 'pop emo', 'post-screamo']",https://api.spotify.com/v1/artists/4ZznAOb4aE3va5Jz1iDpjc,4ZznAOb4aE3va5Jz1iDpjc,Conquer Divide,48,artist,53209
['connecticut hardcore'],https://api.spotify.com/v1/artists/2Ebg59yDSsBJbbBqPmwsAP,2Ebg59yDSsBJbbBqPmwsAP,Atonement,0,artist,240
[],https://api.spotify.com/v1/artists/6uJ0QTtT7KaAYDbgZKbRQF,6uJ0QTtT7KaAYDbgZKbRQF,Day Of Atonement,15,artist,1
[],https://api.spotify.com/v1/artists/2fvdx8OnF8j8t9sfrmRIlU,2fvdx8OnF8j8t9sfrmRIlU,Atonement,0,artist,1
[],https://api.spotify.com/v1/artists/6YLjEaD7pSZOyg23zIjqKr,6YLjEaD7pSZOyg23zIjqKr,Atonement,3,artist,236
[],https://api.spotify.com/v1/artists/2LnChLXnaZXASdI3sSMzSH,2LnChLXnaZXASdI3sSMzSH,Atonement,0,artist,7
[],https://api.spotify.com/v1/artists/3UHnwfpIHpYzCxF1oXgJeT,3UHnwfpIHpYzCxF1oXgJeT,Atonement Theory,0,artist,44
[],https://api.spotify.com/v1/artists/3Jx2bDTZVYdOyA4qwVqC2v,3Jx2bDTZVYdOyA4qwVqC2v,Atonement Denied,0,artist,25
[],https://api.spotify.com/v1/artists/4XyfcK9zZlzAGK53MqLa50,4XyfcK9zZlzAGK53MqLa50,Atonement,0,artist,0
[],https://api.spotify.com/v1/artists/7zOec8OPWuDhMVVl6M3puQ,7zOec8OPWuDhMVVl6M3puQ,atonementaffliction,0,artist,14
[],https://api.spotify.com/v1/artists/7oRD6BSQucNTT8QkX5rQmS,7oRD6BSQucNTT8QkX5rQmS,Day of Atonement,0,artist,31
